station_id,date,element,value,source_flag
OPEN4071_N7401,2024-01-01,TMAX,7.7,open-meteo
OPEN4071_N7401,2024-01-01,TMIN,-0.3,open-meteo
OPEN4071_N7401,2024-01-01,PRCP,0.0,open-meteo
OPEN4071_N7401,2024-01-02,TMAX,5.7,open-meteo
OPEN4071_N7401,2024-01-02,TMIN,-4.6,open-meteo
OPEN4071_N7401,2024-01-02,PRCP,0.0,open-meteo
OPEN4071_N7401,2024-01-03,TMAX,7.7,open-meteo
OPEN4071_N7401,2024-01-03,TMIN,-2.3,open-meteo
OPEN4071_N7401,2024-01-03,PRCP,0.0,open-meteo
OPEN4071_N7401,2024-01-04,TMAX,6.8,open-meteo
OPEN4071_N7401,2024-01-04,TMIN,-3.0,open-meteo
OPEN4071_N7401,2024-01-04,PRCP,0.0,open-meteo
OPEN4071_N7401,2024-01-05,TMAX,3.1,open-meteo
OPEN4071_N7401,2024-01-05,TMIN,-5.3,open-meteo
OPEN4071_N7401,2024-01-05,PRCP,0.0,open-meteo
OPEN4071_N7401,2024-01-06,TMAX,2.8,open-meteo
OPEN4071_N7401,2024-01-06,TMIN,-5.2,open-meteo
OPEN4071_N7401,2024-01-06,PRCP,11.8,open-meteo
OPEN4071_N7401,2024-01-07,TMAX,2.5,open-meteo
OPEN4071_N7401,2024-01-07,TMIN,-0.5,open-meteo
OPEN4071_N7401,2024-01-07,PRCP,6.5,open-meteo
OPEN4071_N7401,2024-01-08,TMAX,6.3,open-meteo
OPEN4071_N7401,2024-01-08,TMIN,-3.6,open-meteo
OPEN4071_N7401,2024-01-08,PRCP,0.0,open-meteo
OPEN4071_N7401,2024-01-09,TMAX,13.1,open-meteo
OPEN4071_N7401,2024-01-09,TMIN,-4.6,open-meteo
OPEN4071_N7401,2024-01-09,PRCP,38.0,open-meteo
OPEN4071_N7401,2024-01-10,TMAX,13.8,open-meteo
OPEN4071_N7401,2024-01-10,TMIN,5.2,open-meteo
OPEN4071_N7401,2024-01-10,PRCP,21.7,open-meteo
OPEN4071_N7401,2024-01-11,TMAX,8.1,open-meteo
OPEN4071_N7401,2024-01-11,TMIN,0.1,open-meteo
OPEN4071_N7401,2024-01-11,PRCP,0.0,open-meteo
OPEN4071_N7401,2024-01-12,TMAX,8.1,open-meteo
OPEN4071_N7401,2024-01-12,TMIN,-2.0,open-meteo
OPEN4071_N7401,2024-01-12,PRCP,4.0,open-meteo
OPEN4071_N7401,2024-01-13,TMAX,14.6,open-meteo
OPEN4071_N7401,2024-01-13,TMIN,1.1,open-meteo
OPEN4071_N7401,2024-01-13,PRCP,19.7,open-meteo
OPEN4071_N7401,2024-01-14,TMAX,6.3,open-meteo
OPEN4071_N7401,2024-01-14,TMIN,-4.4,open-meteo
OPEN4071_N7401,2024-01-14,PRCP,0.5,open-meteo
OPEN4071_N7401,2024-01-15,TMAX,-0.8,open-meteo
OPEN4071_N7401,2024-01-15,TMIN,-5.8,open-meteo
OPEN4071_N7401,2024-01-15,PRCP,1.1,open-meteo
OPEN4071_N7401,2024-01-16,TMAX,-0.9,open-meteo
OPEN4071_N7401,2024-01-16,TMIN,-6.3,open-meteo
OPEN4071_N7401,2024-01-16,PRCP,9.2,open-meteo
OPEN4071_N7401,2024-01-17,TMAX,-4.2,open-meteo
OPEN4071_N7401,2024-01-17,TMIN,-8.9,open-meteo
OPEN4071_N7401,2024-01-17,PRCP,0.0,open-meteo
OPEN4071_N7401,2024-01-18,TMAX,0.4,open-meteo
OPEN4071_N7401,2024-01-18,TMIN,-6.8,open-meteo
OPEN4071_N7401,2024-01-18,PRCP,0.3,open-meteo
OPEN4071_N7401,2024-01-19,TMAX,-0.9,open-meteo
OPEN4071_N7401,2024-01-19,TMIN,-4.6,open-meteo
OPEN4071_N7401,2024-01-19,PRCP,2.7,open-meteo
OPEN4071_N7401,2024-01-20,TMAX,-3.3,open-meteo
OPEN4071_N7401,2024-01-20,TMIN,-8.1,open-meteo
OPEN4071_N7401,2024-01-20,PRCP,0.0,open-meteo
OPEN4071_N7401,2024-01-21,TMAX,-1.1,open-meteo
OPEN4071_N7401,2024-01-21,TMIN,-7.5,open-meteo
OPEN4071_N7401,2024-01-21,PRCP,0.0,open-meteo
OPEN4071_N7401,2024-01-22,TMAX,3.6,open-meteo
OPEN4071_N7401,2024-01-22,TMIN,-6.9,open-meteo
OPEN4071_N7401,2024-01-22,PRCP,0.0,open-meteo
OPEN4071_N7401,2024-01-23,TMAX,4.6,open-meteo
OPEN4071_N7401,2024-01-23,TMIN,-1.0,open-meteo
OPEN4071_N7401,2024-01-23,PRCP,1.7,open-meteo
OPEN4071_N7401,2024-01-24,TMAX,5.6,open-meteo
OPEN4071_N7401,2024-01-24,TMIN,0.1,open-meteo
OPEN4071_N7401,2024-01-24,PRCP,3.5,open-meteo
OPEN4071_N7401,2024-01-25,TMAX,11.4,open-meteo
OPEN4071_N7401,2024-01-25,TMIN,6.8,open-meteo
OPEN4071_N7401,2024-01-25,PRCP,5.4,open-meteo
OPEN4071_N7401,2024-01-26,TMAX,8.3,open-meteo
OPEN4071_N7401,2024-01-26,TMIN,3.2,open-meteo
OPEN4071_N7401,2024-01-26,PRCP,4.5,open-meteo
OPEN4071_N7401,2024-01-27,TMAX,8.6,open-meteo
OPEN4071_N7401,2024-01-27,TMIN,2.8,open-meteo
OPEN4071_N7401,2024-01-27,PRCP,0.0,open-meteo
OPEN4071_N7401,2024-01-28,TMAX,4.2,open-meteo
OPEN4071_N7401,2024-01-28,TMIN,2.3,open-meteo
OPEN4071_N7401,2024-01-28,PRCP,21.3,open-meteo
