station_id,date,element,value,measurement_flag,quality_flag,source_flag,year_month
HIST202400,2024-12-01,TMAX,2.4,,,synthetic,2024-12
HIST202400,2024-12-01,TMIN,-5.7,,,synthetic,2024-12
HIST202400,2024-12-01,PRCP,0.0,,,synthetic,2024-12
HIST202401,2024-12-01,TMAX,4.1,,,synthetic,2024-12
HIST202401,2024-12-01,TMIN,-6.5,,,synthetic,2024-12
HIST202401,2024-12-01,PRCP,0.0,,,synthetic,2024-12
HIST202402,2024-12-01,TMAX,4.8,,,synthetic,2024-12
HIST202402,2024-12-01,TMIN,-3.7,,,synthetic,2024-12
HIST202402,2024-12-01,PRCP,2.4,,,synthetic,2024-12
HIST202403,2024-12-01,TMAX,2.9,,,synthetic,2024-12
HIST202403,2024-12-01,TMIN,-8.6,,,synthetic,2024-12
HIST202403,2024-12-01,PRCP,0.0,,,synthetic,2024-12
HIST202404,2024-12-01,TMAX,5.4,,,synthetic,2024-12
HIST202404,2024-12-01,TMIN,-3.2,,,synthetic,2024-12
HIST202404,2024-12-01,PRCP,0.0,,,synthetic,2024-12
HIST202405,2024-12-01,TMAX,7.1,,,synthetic,2024-12
HIST202405,2024-12-01,TMIN,-1.3,,,synthetic,2024-12
HIST202405,2024-12-01,PRCP,0.0,,,synthetic,2024-12
HIST202406,2024-12-01,TMAX,1.0,,,synthetic,2024-12
HIST202406,2024-12-01,TMIN,-8.3,,,synthetic,2024-12
HIST202406,2024-12-01,PRCP,0.0,,,synthetic,2024-12
HIST202407,2024-12-01,TMAX,7.7,,,synthetic,2024-12
HIST202407,2024-12-01,TMIN,-3.9,,,synthetic,2024-12
HIST202407,2024-12-01,PRCP,0.0,,,synthetic,2024-12
HIST202408,2024-12-01,TMAX,6.3,,,synthetic,2024-12
HIST202408,2024-12-01,TMIN,-4.7,,,synthetic,2024-12
HIST202408,2024-12-01,PRCP,1.2,,,synthetic,2024-12
HIST202409,2024-12-01,TMAX,0.5,,,synthetic,2024-12
HIST202409,2024-12-01,TMIN,-11.5,,,synthetic,2024-12
HIST202409,2024-12-01,PRCP,0.0,,,synthetic,2024-12
HIST202410,2024-12-01,TMAX,7.7,,,synthetic,2024-12
HIST202410,2024-12-01,TMIN,-2.5,,,synthetic,2024-12
HIST202410,2024-12-01,PRCP,1.5,,,synthetic,2024-12
HIST202411,2024-12-01,TMAX,9.5,,,synthetic,2024-12
HIST202411,2024-12-01,TMIN,-0.1,,,synthetic,2024-12
HIST202411,2024-12-01,PRCP,11.7,,,synthetic,2024-12
HIST202400,2024-12-02,TMAX,0.4,,,synthetic,2024-12
HIST202400,2024-12-02,TMIN,-11.4,,,synthetic,2024-12
HIST202400,2024-12-02,PRCP,4.3,,,synthetic,2024-12
HIST202401,2024-12-02,TMAX,3.7,,,synthetic,2024-12
HIST202401,2024-12-02,TMIN,-5.7,,,synthetic,2024-12
HIST202401,2024-12-02,PRCP,0.0,,,synthetic,2024-12
HIST202402,2024-12-02,TMAX,6.7,,,synthetic,2024-12
HIST202402,2024-12-02,TMIN,-2.2,,,synthetic,2024-12
HIST202402,2024-12-02,PRCP,0.0,,,synthetic,2024-12
HIST202403,2024-12-02,TMAX,2.9,,,synthetic,2024-12
HIST202403,2024-12-02,TMIN,-5.9,,,synthetic,2024-12
HIST202403,2024-12-02,PRCP,0.0,,,synthetic,2024-12
HIST202404,2024-12-02,TMAX,3.4,,,synthetic,2024-12
HIST202404,2024-12-02,TMIN,-7.5,,,synthetic,2024-12
HIST202404,2024-12-02,PRCP,0.0,,,synthetic,2024-12
HIST202405,2024-12-02,TMAX,4.4,,,synthetic,2024-12
HIST202405,2024-12-02,TMIN,-5.1,,,synthetic,2024-12
HIST202405,2024-12-02,PRCP,0.0,,,synthetic,2024-12
HIST202406,2024-12-02,TMAX,2.8,,,synthetic,2024-12
HIST202406,2024-12-02,TMIN,-8.3,,,synthetic,2024-12
HIST202406,2024-12-02,PRCP,0.0,,,synthetic,2024-12
HIST202407,2024-12-02,TMAX,6.5,,,synthetic,2024-12
HIST202407,2024-12-02,TMIN,-3.8,,,synthetic,2024-12
HIST202407,2024-12-02,PRCP,2.7,,,synthetic,2024-12
HIST202408,2024-12-02,TMAX,4.7,,,synthetic,2024-12
HIST202408,2024-12-02,TMIN,-4.4,,,synthetic,2024-12
HIST202408,2024-12-02,PRCP,10.2,,,synthetic,2024-12
HIST202409,2024-12-02,TMAX,-0.8,,,synthetic,2024-12
HIST202409,2024-12-02,TMIN,-10.3,,,synthetic,2024-12
HIST202409,2024-12-02,PRCP,0.0,,,synthetic,2024-12
HIST202410,2024-12-02,TMAX,5.5,,,synthetic,2024-12
HIST202410,2024-12-02,TMIN,-2.8,,,synthetic,2024-12
HIST202410,2024-12-02,PRCP,0.0,,,synthetic,2024-12
HIST202411,2024-12-02,TMAX,7.4,,,synthetic,2024-12
HIST202411,2024-12-02,TMIN,-2.6,,,synthetic,2024-12
HIST202411,2024-12-02,PRCP,0.0,,,synthetic,2024-12
HIST202400,2024-12-03,TMAX,2.4,,,synthetic,2024-12
HIST202400,2024-12-03,TMIN,-5.7,,,synthetic,2024-12
HIST202400,2024-12-03,PRCP,0.0,,,synthetic,2024-12
HIST202401,2024-12-03,TMAX,0.8,,,synthetic,2024-12
HIST202401,2024-12-03,TMIN,-7.6,,,synthetic,2024-12
HIST202401,2024-12-03,PRCP,0.0,,,synthetic,2024-12
HIST202402,2024-12-03,TMAX,9.4,,,synthetic,2024-12
HIST202402,2024-12-03,TMIN,-1.3,,,synthetic,2024-12
HIST202402,2024-12-03,PRCP,0.0,,,synthetic,2024-12
HIST202403,2024-12-03,TMAX,0.6,,,synthetic,2024-12
HIST202403,2024-12-03,TMIN,-7.6,,,synthetic,2024-12
HIST202403,2024-12-03,PRCP,0.0,,,synthetic,2024-12
HIST202404,2024-12-03,TMAX,4.7,,,synthetic,2024-12
HIST202404,2024-12-03,TMIN,-7.2,,,synthetic,2024-12
HIST202404,2024-12-03,PRCP,0.0,,,synthetic,2024-12
HIST202405,2024-12-03,TMAX,5.1,,,synthetic,2024-12
HIST202405,2024-12-03,TMIN,-4.7,,,synthetic,2024-12
HIST202405,2024-12-03,PRCP,1.5,,,synthetic,2024-12
HIST202406,2024-12-03,TMAX,4.3,,,synthetic,2024-12
HIST202406,2024-12-03,TMIN,-4.0,,,synthetic,2024-12
HIST202406,2024-12-03,PRCP,0.0,,,synthetic,2024-12
HIST202407,2024-12-03,TMAX,7.7,,,synthetic,2024-12
HIST202407,2024-12-03,TMIN,-1.7,,,synthetic,2024-12
HIST202407,2024-12-03,PRCP,0.0,,,synthetic,2024-12
HIST202408,2024-12-03,TMAX,6.0,,,synthetic,2024-12
HIST202408,2024-12-03,TMIN,-2.8,,,synthetic,2024-12
HIST202408,2024-12-03,PRCP,0.0,,,synthetic,2024-12
HIST202409,2024-12-03,TMAX,8.0,,,synthetic,2024-12
HIST202409,2024-12-03,TMIN,-1.0,,,synthetic,2024-12
HIST202409,2024-12-03,PRCP,0.0,,,synthetic,2024-12
HIST202410,2024-12-03,TMAX,0.7,,,synthetic,2024-12
HIST202410,2024-12-03,TMIN,-8.4,,,synthetic,2024-12
HIST202410,2024-12-03,PRCP,2.9,,,synthetic,2024-12
HIST202411,2024-12-03,TMAX,7.8,,,synthetic,2024-12
HIST202411,2024-12-03,TMIN,-0.2,,,synthetic,2024-12
HIST202411,2024-12-03,PRCP,1.6,,,synthetic,2024-12
HIST202400,2024-12-04,TMAX,1.7,,,synthetic,2024-12
HIST202400,2024-12-04,TMIN,-7.5,,,synthetic,2024-12
HIST202400,2024-12-04,PRCP,0.0,,,synthetic,2024-12
HIST202401,2024-12-04,TMAX,2.7,,,synthetic,2024-12
HIST202401,2024-12-04,TMIN,-7.3,,,synthetic,2024-12
HIST202401,2024-12-04,PRCP,0.0,,,synthetic,2024-12
HIST202402,2024-12-04,TMAX,6.1,,,synthetic,2024-12
HIST202402,2024-12-04,TMIN,-5.8,,,synthetic,2024-12
HIST202402,2024-12-04,PRCP,0.8,,,synthetic,2024-12
HIST202403,2024-12-04,TMAX,4.8,,,synthetic,2024-12
HIST202403,2024-12-04,TMIN,-4.9,,,synthetic,2024-12
HIST202403,2024-12-04,PRCP,0.0,,,synthetic,2024-12
HIST202404,2024-12-04,TMAX,3.1,,,synthetic,2024-12
HIST202404,2024-12-04,TMIN,-6.0,,,synthetic,2024-12
HIST202404,2024-12-04,PRCP,0.0,,,synthetic,2024-12
HIST202405,2024-12-04,TMAX,8.5,,,synthetic,2024-12
HIST202405,2024-12-04,TMIN,-1.8,,,synthetic,2024-12
HIST202405,2024-12-04,PRCP,0.0,,,synthetic,2024-12
HIST202406,2024-12-04,TMAX,5.8,,,synthetic,2024-12
HIST202406,2024-12-04,TMIN,-2.7,,,synthetic,2024-12
HIST202406,2024-12-04,PRCP,0.0,,,synthetic,2024-12
HIST202407,2024-12-04,TMAX,4.0,,,synthetic,2024-12
HIST202407,2024-12-04,TMIN,-7.1,,,synthetic,2024-12
HIST202407,2024-12-04,PRCP,2.3,,,synthetic,2024-12
HIST202408,2024-12-04,TMAX,10.2,,,synthetic,2024-12
HIST202408,2024-12-04,TMIN,1.2,,,synthetic,2024-12
HIST202408,2024-12-04,PRCP,0.0,,,synthetic,2024-12
HIST202409,2024-12-04,TMAX,0.8,,,synthetic,2024-12
HIST202409,2024-12-04,TMIN,-9.4,,,synthetic,2024-12
HIST202409,2024-12-04,PRCP,4.8,,,synthetic,2024-12
HIST202410,2024-12-04,TMAX,5.4,,,synthetic,2024-12
HIST202410,2024-12-04,TMIN,-2.9,,,synthetic,2024-12
HIST202410,2024-12-04,PRCP,0.0,,,synthetic,2024-12
HIST202411,2024-12-04,TMAX,6.5,,,synthetic,2024-12
HIST202411,2024-12-04,TMIN,-3.5,,,synthetic,2024-12
HIST202411,2024-12-04,PRCP,0.0,,,synthetic,2024-12
HIST202400,2024-12-05,TMAX,3.0,,,synthetic,2024-12
HIST202400,2024-12-05,TMIN,-6.3,,,synthetic,2024-12
HIST202400,2024-12-05,PRCP,0.0,,,synthetic,2024-12
HIST202401,2024-12-05,TMAX,3.4,,,synthetic,2024-12
HIST202401,2024-12-05,TMIN,-6.8,,,synthetic,2024-12
HIST202401,2024-12-05,PRCP,0.0,,,synthetic,2024-12
